name_of_university,year_of_education,type_of_university,city,onlisans_male,onlisans_female,lisans_male,lisans_female,master_male,master_female,doctorate_male,doctorate_female,total_male,total_female,total_total
ABANT IZZET BAYSAL UNIVERSITESI,2018-2017,DEVLET,BOLU,6230,3521,7970,11171,1333,1204,230,204,15763,16100,31863
ABANT IZZET BAYSAL UNIVERSITESI,2017-2016,DEVLET,BOLU,6222,3309,7243,10570,1367,1166,199,165,15031,15210,30241
ABANT IZZET BAYSAL UNIVERSITESI,2016-2015,DEVLET,BOLU,5649,2969,6633,10097,1280,1098,192,153,13754,14317,28071
ABANT IZZET BAYSAL UNIVERSITESI,2015-2014,DEVLET,BOLU,4269,2197,6149,9604,936,845,155,115,11509,12761,24270
ABDULLAH GUL UNIVERSITESI,2019-2018,DEVLET,KAYSERI,0,0,854,377,46,40,50,41,950,458,1408
ABDULLAH GUL UNIVERSITESI,2018-2017,DEVLET,KAYSERI,0,0,644,230,39,33,43,36,726,299,1025
ABDULLAH GUL UNIVERSITESI,2017-2016,DEVLET,KAYSERI,0,0,496,160,29,26,32,21,557,207,764
ABDULLAH GUL UNIVERSITESI,2016-2015,DEVLET,KAYSERI,0,0,299,98,32,22,25,9,356,129,485
ABDULLAH GUL UNIVERSITESI,2015-2014,DEVLET,KAYSERI,0,0,189,68,19,18,17,5,225,91,316
ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,514,965,628,1741,67,266,18,88,1227,3060,4287
ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,485,879,583,1690,53,232,14,52,1135,2853,3988
ACIBADEM UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,544,976,507,1407,65,208,8,38,1124,2629,3753
ACIBADEM UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,514,937,418,1038,57,196,5,25,994,2196,3190
ACIBADEM UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,326,591,341,786,51,217,3,10,721,1604,2325
ADANA ALPARSLAN TURKES BILIM VE TEKNOLOJI UNIVERSITESI,2019-2018,DEVLET,ADANA,0,0,1085,727,391,224,14,9,1490,960,2450
ADANA BILIM VE TEKNOLOJI UNIVERSITESI,2018-2017,DEVLET,ADANA,0,0,799,558,430,154,5,2,1234,714,1948
ADANA BILIM VE TEKNOLOJI UNIVERSITESI,2017-2016,DEVLET,ADANA,0,0,531,385,382,132,1,0,914,517,1431
ADANA BILIM VE TEKNOLOJI UNIVERSITESI,2016-2015,DEVLET,ADANA,0,0,360,261,275,91,0,0,635,352,987
ADANA BILIM VE TEKNOLOJI UNIVERSITESI,2015-2014,DEVLET,ADANA,0,0,183,137,198,92,0,0,381,229,610
ADIYAMAN UNIVERSITESI,2019-2018,DEVLET,ADIYAMAN,6316,3544,4548,5435,313,195,42,24,11219,9198,20417
ADIYAMAN UNIVERSITESI,2018-2017,DEVLET,ADIYAMAN,6175,3585,4378,5256,370,206,46,20,10969,9067,20036
ADIYAMAN UNIVERSITESI,2017-2016,DEVLET,ADIYAMAN,6449,3910,4275,5170,406,191,46,15,11176,9286,20462
ADIYAMAN UNIVERSITESI,2016-2015,DEVLET,ADIYAMAN,6037,3808,4055,4862,434,211,44,16,10570,8897,19467
ADIYAMAN UNIVERSITESI,2015-2014,DEVLET,ADIYAMAN,5534,3488,3773,4522,344,172,29,11,9680,8193,17873
ADNAN MENDERES UNIVERSITESI,2018-2017,DEVLET,AYDIN,11981,9698,13812,14612,1911,1449,270,306,27974,26065,54039
ADNAN MENDERES UNIVERSITESI,2017-2016,DEVLET,AYDIN,11936,9894,12667,14001,1726,1336,224,233,26553,25464,52017
ADNAN MENDERES UNIVERSITESI,2016-2015,DEVLET,AYDIN,11259,9043,10847,12080,1361,1156,204,215,23671,22494,46165
ADNAN MENDERES UNIVERSITESI,2015-2014,DEVLET,AYDIN,10480,8292,9369,10818,1029,1022,200,200,21078,20332,41410
AFYON KOCATEPE UNIVERSITESI,2019-2018,DEVLET,AFYONKARAHISAR,6503,3809,11877,11287,1723,1172,227,129,20330,16397,36727
AFYON KOCATEPE UNIVERSITESI,2018-2017,DEVLET,AFYONKARAHISAR,9969,5875,12731,13165,2152,1251,240,116,25092,20407,45499
AFYON KOCATEPE UNIVERSITESI,2017-2016,DEVLET,AFYON,10806,6236,12107,12506,2293,1171,216,94,25422,20007,45429
AFYON KOCATEPE UNIVERSITESI,2016-2015,DEVLET,AFYON,10406,6018,11241,11950,1929,967,208,84,23784,19019,42803
AFYON KOCATEPE UNIVERSITESI,2015-2014,DEVLET,AFYON,9721,5699,10295,11192,1522,796,185,78,21723,17765,39488
AFYONKARAHISAR SAGLIK BILIMLERI UNIVERSITESI,2019-2018,DEVLET,AFYONKARAHISAR,593,1448,1050,1882,12,51,18,6,1673,3387,5060
